appbytes,bytes,count,dstbytes,dstload,dstport,dstrate,duration,hops,intpkt,jitter,loss,maxsize,meansize,minsize,packets,pcr,ploss,protocol,rate,rtt,srcbytes,srcload,srcport,srcrate,srcrate,security
10842,13446,17,0,0.0,0,0.0,1683.09729,0,1001.206063,4.243,0,243,216.870972,216,62,1.0,0.0,17,0.036243,0.0,13446,63.910744,0,0.036243,0.036243,1
66296,80114,211,0,0.0,0,0.0,1772.937866,0,2333.41,2427.742,0,291,243.507599,83,329,1.0,0.0,17,0.185004,0.0,80114,361.497162,0,0.185004,0.185004,1
66296,80114,211,0,0.0,0,0.0,1772.937866,0,2333.41,2427.742,0,291,243.507599,83,329,1.0,0.0,17,0.185004,0.0,80114,361.497162,0,0.185004,0.185004,1
20,502,6,60,0.64137,0,0.0,748.397949,11,194.653,0.0,0,142,123.14285699999999,120,8,1.0,0.0,0,0.009353,0.0,442,4.724759,0,0.008017,0.008017,1
20,502,6,60,0.64137,0,0.0,748.397949,11,194.653,0.0,0,142,123.14285699999999,120,8,1.0,0.0,0,0.009353,0.0,442,4.724759,0,0.008017,0.008017,1
71802,97968,359,0,0.0,0,0.0,1785.765259,0,1883.780125,1698273.92,0,268,157.251999,67,623,1.0,0.0,17,0.34831,0.0,97968,438.884125,0,0.34831,0.34831,1
71802,97968,359,0,0.0,0,0.0,1785.765259,0,1883.780125,1698273.92,0,268,157.251999,67,623,1.0,0.0,17,0.34831,0.0,97968,438.884125,0,0.34831,0.34831,1
12311,15965,52,0,0.0,5353,0.0,1712.23999,1,3394.732,2629.925,0,972,183.505753,162,87,1.0,0.0,17,0.050227,0.0,15965,74.592346,5353,0.050227,0.050227,0
1176,1848,8,0,0.0,0,0.0,1234.993896,0,599.987,284.776,0,243,115.5,75,16,1.0,0.0,17,0.012146,0.0,1848,11.970909,0,0.012146,0.012146,1
1176,1848,8,0,0.0,0,0.0,1234.993896,0,599.987,284.776,0,243,115.5,75,16,1.0,0.0,17,0.012146,0.0,1848,11.970909,0,0.012146,0.012146,1
10320,12840,15,0,0.0,1900,0.0,1683.006958,0,1000.558063,2074666.368,0,214,214.0,214,60,1.0,0.0,17,0.035056,0.0,12840,61.033615,0,0.035056,0.035056,0
0,120,2,0,0.0,81,0.0,199.354584,10,0.0,0.0,0,60,60.0,60,2,-0.0,0.0,6,0.005016,0.0,120,4.81554,0,0.005016,0.005016,1
0,120,2,0,0.0,81,0.0,199.354584,10,0.0,0.0,0,60,60.0,60,2,-0.0,0.0,6,0.005016,0.0,120,4.81554,0,0.005016,0.005016,1
37556,46124,80,0,0.0,0,0.0,1726.939453,0,1817.374,1282470.528,0,268,226.098038,82,204,1.0,0.0,17,0.117549,0.0,46124,213.668167,0,0.117549,0.117549,0
10093,13327,37,0,0.0,5353,0.0,1628.910889,1,2497.729,1907.11,0,1195,173.077927,81,77,1.0,0.0,17,0.046657,0.0,13327,65.452324,5353,0.046657,0.046657,0
0,60,1,0,0.0,3388,0.0,0.0,19,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,40962,0.0,0.0,0
34440,42000,135,0,0.0,0,0.0,1775.978516,0,1007.789,4.961,0,242,233.333328,216,180,1.0,0.0,17,0.10079,0.0,42000,189.191483,0,0.10079,0.10079,1
34440,42000,135,0,0.0,0,0.0,1775.978516,0,1007.789,4.961,0,242,233.333328,216,180,1.0,0.0,17,0.10079,0.0,42000,189.191483,0,0.10079,0.10079,1
15818,19010,39,0,0.0,0,0.0,1628.748413,0,2437.25,1793.374,0,270,250.131577,83,76,1.0,0.0,17,0.046048,0.0,19010,93.372307,0,0.046048,0.046048,1
